1.87069,0.0179336,0.15,0,0,0.00522934,0.999986,map
6.78148,0.281917,0.15,0,0,0.0182086,0.999834,map
14.7114,0.770937,0.15,0,0,0.0144874,0.999895,map
23.6705,1.36603,0.15,0,0,0.0237902,0.999717,map
23.7218,1.36737,0.15,0,0,-0.681662,0.731668,map
24.086,-2.2222,0.15,0,0,-0.675212,0.737624,map
24.1143,-2.23505,0.15,0,0,0.999427,-0.0338577,map
15.183,-2.82909,0.15,0,0,0.999344,-0.0362243,map
7.13107,-3.28919,0.15,0,0,0.999666,-0.0258285,map
-0.433973,-3.75128,0.15,0,0,0.999666,-0.0258444,map
-0.463675,-3.78493,0.15,0,0,0.705306,0.708903,map
-0.532051,-0.0219592,0.15,0,0,0.694389,0.7196,map
-0.568067,0.0467215,0.15,0,0,-0.0236352,0.999721,map
-0.0255061,0.015426,0.15,0,0,-0.0278119,0.999613,map
